"Go to Home page","Go to Home page",theme,frontend/BFD/Hyva_Demo
"Store logo","Store logo",theme,frontend/BFD/Hyva_Demo
"View All","View All",theme,frontend/BFD/Hyva_Demo
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/BFD/Hyva_Hypernode
"Main image","Main image",theme,frontend/BFD/Hyva_Hypernode
"Click to view image in fullscreen","Click to view image in fullscreen",theme,frontend/BFD/Hyva_Hypernode
Previous,Previous,theme,frontend/BFD/Hyva_Hypernode
"%1 thumbnail","%1 thumbnail",theme,frontend/BFD/Hyva_Hypernode
Next,Next,theme,frontend/BFD/Hyva_Hypernode
"Close fullscreen","Close fullscreen",theme,frontend/BFD/Hyva_Hypernode
"Add to Cart","Add to Cart",theme,frontend/BFD/MisterBricks_Hyva
"Update item","Update item",theme,frontend/BFD/MisterBricks_Hyva
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/BFD/MisterBricks_Hyva
"Main image","Main image",theme,frontend/BFD/MisterBricks_Hyva
"Click to view image in fullscreen","Click to view image in fullscreen",theme,frontend/BFD/MisterBricks_Hyva
Previous,Previous,theme,frontend/BFD/MisterBricks_Hyva
"%1 thumbnail","%1 thumbnail",theme,frontend/BFD/MisterBricks_Hyva
Next,Next,theme,frontend/BFD/MisterBricks_Hyva
"Close fullscreen","Close fullscreen",theme,frontend/BFD/MisterBricks_Hyva
"%1 Gallery","%1 Gallery",theme,frontend/BFD/MisterBricks_Hyva
"Fullscreen Gallery","Fullscreen Gallery",theme,frontend/BFD/MisterBricks_Hyva
"Open fullscreen","Open fullscreen",theme,frontend/BFD/MisterBricks_Hyva
"%1 Gallery Navigation","%1 Gallery Navigation",theme,frontend/BFD/MisterBricks_Hyva
"%1 Gallery Thumbnails","%1 Gallery Thumbnails",theme,frontend/BFD/MisterBricks_Hyva
"Excl. Tax","Excl. Tax",theme,frontend/BFD/MisterBricks_Hyva
"As low as","As low as",theme,frontend/BFD/MisterBricks_Hyva
Description,Description,theme,frontend/BFD/MisterBricks_Hyva
"Write Your Own Review","Write Your Own Review",theme,frontend/BFD/MisterBricks_Hyva
"* Required Fields","* Required Fields",theme,frontend/BFD/MisterBricks_Hyva
"You're reviewing:","You're reviewing:",theme,frontend/BFD/MisterBricks_Hyva
"Your Rating","Your Rating",theme,frontend/BFD/MisterBricks_Hyva
"%1 %2","%1 %2",theme,frontend/BFD/MisterBricks_Hyva
Nickname,Nickname,theme,frontend/BFD/MisterBricks_Hyva
Summary,Summary,theme,frontend/BFD/MisterBricks_Hyva
Review,Review,theme,frontend/BFD/MisterBricks_Hyva
"Submit Review","Submit Review",theme,frontend/BFD/MisterBricks_Hyva
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>",theme,frontend/BFD/MisterBricks_Hyva
"Be the first to review this product","Be the first to review this product",theme,frontend/BFD/MisterBricks_Hyva
"Customer Reviews","Customer Reviews",theme,frontend/BFD/MisterBricks_Hyva
"Review by","Review by",theme,frontend/BFD/MisterBricks_Hyva
"Not Installed","Not Installed",module,Amasty_Base
"Instance Registration Key","Instance Registration Key",module,Amasty_Base
"Add New","Add New",module,Amasty_Base
"Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2""","Incompatibility with the %1. To avoid the conflicts we strongly recommend turning off the 3rd party mod via the following command: ""%2""",module,Amasty_Base
Extension,Extension,module,Amasty_Base
Download,Download,module,Amasty_Base
"Magento Mode","Magento Mode",module,Amasty_Base
"Magento Path","Magento Path",module,Amasty_Base
Unknown,Unknown,module,Amasty_Base
"Server User","Server User",module,Amasty_Base
"Current Database Time","Current Database Time",module,Amasty_Base
"Current Magento Time","Current Magento Time",module,Amasty_Base
"Job code","Job code",module,Amasty_Base
Status,Status,module,Amasty_Base
"Created At","Created At",module,Amasty_Base
"No cron jobs found","No cron jobs found",module,Amasty_Base
"Learn more","Learn more",module,Amasty_Base
"Cron (Last 5)","Cron (Last 5)",module,Amasty_Base
"System Data","System Data",module,Amasty_Base
"Cache Info","Cache Info",module,Amasty_Base
"There is no sample file for this entity.","There is no sample file for this entity.",module,Amasty_Base
"Module Name is empty.","Module Name is empty.",module,Amasty_Base
"An error occurred while changing the frequency.","An error occurred while changing the frequency.",module,Amasty_Base
"You will get more messages of this type. Notification frequency has been updated.","You will get more messages of this type. Notification frequency has been updated.",module,Amasty_Base
"You will get less messages of this type. Notification frequency has been updated.","You will get less messages of this type. Notification frequency has been updated.",module,Amasty_Base
"Entity Type Code not set.","Entity Type Code not set.",module,Amasty_Base
"Mapping column doesn't exist.","Mapping column doesn't exist.",module,Amasty_Base
"Master Attribute Code doesn't set.","Master Attribute Code doesn't set.",module,Amasty_Base
"No such Import Behavior.","No such Import Behavior.",module,Amasty_Base
"Wrong Behavior Interface.","Wrong Behavior Interface.",module,Amasty_Base
"Wrong Validator Interface.","Wrong Validator Interface.",module,Amasty_Base
Configuration,Configuration,module,Amasty_Base
"User Guide","User Guide",module,Amasty_Base
"Upgrade Your Plan","Upgrade Your Plan",module,Amasty_Base
"The PHP function exec is disabled. Please contact your system administrator or your hosting provider.","The PHP function exec is disabled. Please contact your system administrator or your hosting provider.",module,Amasty_Base
"All Notifications","All Notifications",module,Amasty_Base
"You have successfully unsubscribed from %1.","You have successfully unsubscribed from %1.",module,Amasty_Base
"Provided argument is not in PSR-0 or underscore notation.","Provided argument is not in PSR-0 or underscore notation.",module,Amasty_Base
"<b>Allowed errors limit is reached.</b>","<b>Allowed errors limit is reached.</b>",module,Amasty_Base
"<b>Error!</b> ","<b>Error!</b> ",module,Amasty_Base
"Invalid request.","Invalid request.",module,Amasty_Base
"2 days","2 days",module,Amasty_Base
"5 days","5 days",module,Amasty_Base
"10 days","10 days",module,Amasty_Base
"15 days","15 days",module,Amasty_Base
"30 days","30 days",module,Amasty_Base
"General Info","General Info",module,Amasty_Base
"Special Deals","Special Deals",module,Amasty_Base
"Available Updates","Available Updates",module,Amasty_Base
"Magento Tips & Tricks","Magento Tips & Tricks",module,Amasty_Base
"Unsubscribe from all","Unsubscribe from all",module,Amasty_Base
"Registration failed, please try again later.","Registration failed, please try again later.",module,Amasty_Base
Active,Active,module,Amasty_Base
Inactive,Inactive,module,Amasty_Base
"Type: %1","Type: %1",module,Amasty_Base
"The ""%1"" group name isn't defined. Verify the executor and try again.","The ""%1"" group name isn't defined. Verify the executor and try again.",module,Amasty_Base
" by "," by ",module,Amasty_Base
"Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>","Update is available and recommended. See the <a target=""_blank"" href=""%1"">Change Log</a>",module,Amasty_Base
"Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly.","Need help with the settings?  Please  consult the <a target=""_blank"" href=""%1"">user guide</a> to configure the extension properly.",module,Amasty_Base
"Request New Feature","Request New Feature",module,Amasty_Base
"Problems detected:","Problems detected:",module,Amasty_Base
"Show less of these messages","Show less of these messages",module,Amasty_Base
"Show more of these messages","Show more of these messages",module,Amasty_Base
Unsubscribe,Unsubscribe,module,Amasty_Base
"Also recommended for your store","Also recommended for your store",module,Amasty_Base
"Invalid Request.","Invalid Request.",module,Amasty_Base
"All Store Views","All Store Views",module,Amasty_Base
"Entity config not found for given path %1.","Entity config not found for given path %1.",module,Amasty_Base
"Amasty notice: Some Amasty extensions have missing or expired licenses. Please go to <a href=""%1"">Configuration</a> and check the details in the License Status column.","Amasty notice: Some Amasty extensions have missing or expired licenses. Please go to <a href=""%1"">Configuration</a> and check the details in the License Status column.",module,Amasty_Base
"Amasty notice: Some Amasty subscriptions have been canceled or have limited access. Please go to <a href=""%1"">Configuration</a> and check the details in the License Status column.","Amasty notice: Some Amasty subscriptions have been canceled or have limited access. Please go to <a href=""%1"">Configuration</a> and check the details in the License Status column.",module,Amasty_Base
"Amasty notice: Please go to <a href=""%1"">Configuration</a> and register your instance to avoid unlicensed product usage.","Amasty notice: Please go to <a href=""%1"">Configuration</a> and register your instance to avoid unlicensed product usage.",module,Amasty_Base
Action,Action,module,Amasty_Base
Add,Add,module,Amasty_Base
"Save and Verify","Save and Verify",module,Amasty_Base
"Need help with the settings? Please  consult the","Need help with the settings? Please  consult the",module,Amasty_Base
"user guide","user guide",module,Amasty_Base
"to configure the extension properly.","to configure the extension properly.",module,Amasty_Base
"Update is available and recommended. See the","Update is available and recommended. See the",module,Amasty_Base
"License Registration","License Registration",module,Amasty_Base
"Please register your instance to avoid unlicensed product usage. Enter the Instance Registration Key from your Account &#10230; License Registration.","Please register your instance to avoid unlicensed product usage. Enter the Instance Registration Key from your Account &#10230; License Registration.",module,Amasty_Base
"Get Support","Get Support",module,Amasty_Base
"Pro Subscription","Pro Subscription",module,Amasty_Base
Pro,Pro,module,Amasty_Base
year,year,module,Amasty_Base
mo,mo,module,Amasty_Base
"Service level agreement","Service level agreement",module,Amasty_Base
"24h - time to first response","24h - time to first response",module,Amasty_Base
"48h - time to update","48h - time to update",module,Amasty_Base
"48h - time to technical review","48h - time to technical review",module,Amasty_Base
"Free installation for all extensions","Free installation for all extensions",module,Amasty_Base
"Free configuration service","Free configuration service",module,Amasty_Base
Subscribe,Subscribe,module,Amasty_Base
"Premium Subscription","Premium Subscription",module,Amasty_Base
Premium,Premium,module,Amasty_Base
Popular,Popular,module,Amasty_Base
"24h - time to update","24h - time to update",module,Amasty_Base
"24h - time to technical review","24h - time to technical review",module,Amasty_Base
"Pro included","Pro included",module,Amasty_Base
"Instant support in Slack","Instant support in Slack",module,Amasty_Base
"Free installation of version updates","Free installation of version updates",module,Amasty_Base
"on request","on request",module,Amasty_Base
"Lite Performance Audit","Lite Performance Audit",module,Amasty_Base
"once per quarter","once per quarter",module,Amasty_Base
"Amasty One Subscription","Amasty One Subscription",module,Amasty_Base
"Amasty One","Amasty One",module,Amasty_Base
"14h - time to first response","14h - time to first response",module,Amasty_Base
"18h - time to update","18h - time to update",module,Amasty_Base
"Premium included","Premium included",module,Amasty_Base
"Personal account manager","Personal account manager",module,Amasty_Base
"Screen sharing and video calls for configuration questions","Screen sharing and video calls for configuration questions",module,Amasty_Base
"Training sessions","Training sessions",module,Amasty_Base
"Lite Performance Audit + special offer for Core Web Vitals optimization","Lite Performance Audit + special offer for Core Web Vitals optimization",module,Amasty_Base
Solutions,Solutions,module,Amasty_Base
Extensions,Extensions,module,Amasty_Base
"Reindex All","Reindex All",module,Amasty_Reindex
Reset,Reset,module,Amasty_Reindex
"Reindex process has been started in the background.","Reindex process has been started in the background.",module,Amasty_Reindex
"'Unknown indexer code:' .","'Unknown indexer code:' .",module,Amasty_Reindex
"Couldn't reset indexer %1","Couldn't reset indexer %1",module,Amasty_Reindex
Never,Never,module,Amasty_Reindex
Loading...,Loading...,theme,frontend/Hyva/default
"Final product price ","Final product price ",theme,frontend/Hyva/default
"Excl. Tax","Excl. Tax",theme,frontend/Hyva/default
"Your Customization","Your Customization",theme,frontend/Hyva/default
Summary,Summary,theme,frontend/Hyva/default
None,None,theme,frontend/Hyva/default
"%1 options","%1 options",theme,frontend/Hyva/default
Quantity,Quantity,theme,frontend/Hyva/default
"Choose a selection...","Choose a selection...",theme,frontend/Hyva/default
"Customize %1","Customize %1",theme,frontend/Hyva/default
"No options of this product are available.","No options of this product are available.",theme,frontend/Hyva/default
"Buy %1 with %2 discount each","Buy %1 with %2 discount each",theme,frontend/Hyva/default
"Shop By","Shop By",theme,frontend/Hyva/default
Category,Category,theme,frontend/Hyva/default
"%1 filter, 1 available product","%1 filter, 1 available product",theme,frontend/Hyva/default
"%1 filter, %2 available products","%1 filter, %2 available products",theme,frontend/Hyva/default
"Are you sure you want to remove this item from your Compare Products list?","Are you sure you want to remove this item from your Compare Products list?",theme,frontend/Hyva/default
"Could not remove item from compare.","Could not remove item from compare.",theme,frontend/Hyva/default
"You removed product %1 from the comparison list","You removed product %1 from the comparison list",theme,frontend/Hyva/default
"Could not add item to wishlist.","Could not add item to wishlist.",theme,frontend/Hyva/default
"%1 has been added to your Wish List.","%1 has been added to your Wish List.",theme,frontend/Hyva/default
"Print This Page","Print This Page",theme,frontend/Hyva/default
"Compare Products","Compare Products",theme,frontend/Hyva/default
Product,Product,theme,frontend/Hyva/default
"Add to Cart","Add to Cart",theme,frontend/Hyva/default
"Add to Wish List","Add to Wish List",theme,frontend/Hyva/default
"Remove Product","Remove Product",theme,frontend/Hyva/default
"Review score","Review score",theme,frontend/Hyva/default
"You have no items to compare.","You have no items to compare.",theme,frontend/Hyva/default
"You removed all products from the comparison list","You removed all products from the comparison list",theme,frontend/Hyva/default
"Could not remove all item from compare.","Could not remove all item from compare.",theme,frontend/Hyva/default
"Are you sure you want to remove all items from your Compare Products list?","Are you sure you want to remove all items from your Compare Products list?",theme,frontend/Hyva/default
"Remove product ""%1"" from the comparison","Remove product ""%1"" from the comparison",theme,frontend/Hyva/default
Compare,Compare,theme,frontend/Hyva/default
"Remove all Products","Remove all Products",theme,frontend/Hyva/default
"Clear all","Clear all",theme,frontend/Hyva/default
"Please select one of the options.","Please select one of the options.",theme,frontend/Hyva/default
"-- Please Select --","-- Please Select --",theme,frontend/Hyva/default
"We can't find products matching the selection.","We can't find products matching the selection.",theme,frontend/Hyva/default
"Product list","Product list",theme,frontend/Hyva/default
"Add to Compare","Add to Compare",theme,frontend/Hyva/default
"Items %1-%2 of %3","Items %1-%2 of %3",theme,frontend/Hyva/default
"%1 Item","%1 Item",theme,frontend/Hyva/default
"%1 Items","%1 Items",theme,frontend/Hyva/default
Show,Show,theme,frontend/Hyva/default
"Show items per page","Show items per page",theme,frontend/Hyva/default
"Sort By","Sort By",theme,frontend/Hyva/default
"Set Ascending Direction","Set Ascending Direction",theme,frontend/Hyva/default
"Set Descending Direction","Set Descending Direction",theme,frontend/Hyva/default
"Products view mode","Products view mode",theme,frontend/Hyva/default
"Products view mode - %1","Products view mode - %1",theme,frontend/Hyva/default
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>",theme,frontend/Hyva/default
"Buy %1 for %2 each","Buy %1 for %2 each",theme,frontend/Hyva/default
Carousel,Carousel,theme,frontend/Hyva/default
"Carousel %1","Carousel %1",theme,frontend/Hyva/default
"Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.","Navigating through the elements of the carousel is possible using the tab key. You can skip the carousel or go straight to carousel navigation using the skip links.",theme,frontend/Hyva/default
"Press to skip carousel","Press to skip carousel",theme,frontend/Hyva/default
"Press to go to carousel navigation","Press to go to carousel navigation",theme,frontend/Hyva/default
"Item %1","Item %1",theme,frontend/Hyva/default
"Previous slide","Previous slide",theme,frontend/Hyva/default
"Display slide %1","Display slide %1",theme,frontend/Hyva/default
"Next slide","Next slide",theme,frontend/Hyva/default
"Update item","Update item",theme,frontend/Hyva/default
"Update Wish List","Update Wish List",theme,frontend/Hyva/default
Home,Home,theme,frontend/Hyva/default
