"Configuration","Configuration"
"General","General"
"Please enter addwish ID","Please enter addwish ID"
"Addwish Feeds","Addwish Feeds"
"Enabled Product Feed","Enabled Product Feed"
"Enabled Order Feed","Enabled Order Feed"
"Enabled Category Feed","Enabled Category Feed"
"Tracking","Tracking"
"Enabled Cart Tracking","Enabled Cart Tracking"
"Enabled Conversion Tracking","Enabled Conversion Tracking"
